	nation	country	wiki_id
0	afghanen	Afghanistan	Q889
1	albaner	Albanien	Q222
2	algerier	Algerien	Q262
3	andorraner	Andorra	Q228
4	angolaner	Angola	Q916
5	antiguaner und barbudaner	Antigua und Barbuda	Q781
6	antiguaner	Antigua und Barbuda	Q781
7	barbudaner	Antigua und Barbuda	Q781
8	argentinier	Argentinien	Q414
9	armenier	Armenien	Q399
10	aserbaidschaner	Aserbaidschan	Q227
11	australier	Australien	Q408
12	bahamaer	Bahamas	Q778
13	bahrainer	Bahrain	Q398
14	bangalen	Bangladesch	Q902
15	bangladescher	Bangladesch	Q902
16	barbadier	Barbados	Q244
17	belarussen	Belarus	Q184
18	weißrussen	Belarus	Q184
19	belgier	Belgien	Q31
20	belizianer	Belize	Q242
21	beniner	Benin	Q962
22	bhutaner	Bhutan	Q917
23	bolivianer	Bolivien	Q750
24	bosnier	Bosnien und Herzegowina	Q225
25	botsuaner	Botswana	Q963
26	brasilianer	Brasilien	Q155
27	briten	Großbritannien	Q145
28	bruneier	Brunei	Q921
29	bulgaren	Bulgarien	Q219
30	burkiner	Burkina Faso	Q965
31	burundier	Burundi	Q967
32	chilenen	Chile	Q298
33	chinesen	China	Q148
34	costa-ricaner	Costa Rica	Q800
35	deutsche	Deutschland	Q183
36	dominicaner	Dominica	Q784
37	dominikaner	Dominikanische Republik	Q786
38	dschibutier	Dschibuti	Q977
39	dänen	Dänemark	Q35
40	ecuadorianer	Ecuador	Q736
41	eritreer	Eritrea	Q986
42	estländer	Estland	Q191
43	esten	Estland	Q191
44	swazi	Eswatini	Q1050
45	fidschianer	Fidschi	Q712
46	finnen	Finnland	Q33
47	franzosen	Frankreich	Q142
48	gabuner	Gabun	Q1000
49	gambier	Gambia	Q1005
50	georgier	Georgien	Q230
51	ghanaer	Ghana	Q117
52	grenader	Grenada	Q769
53	griechen	Griechenland	Q41
54	guatemalteken	Guatemala	Q774
55	guineer	Guinea	Q1006
56	guinea-bissauer	Guinea-Bissau	Q1007
57	guyaner	Guyana	Q734
58	haitianer	Haiti	Q790
59	honduraner	Honduras	Q783
60	isländer	Island	Q189
